player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
M.J. Stewart,49397,S,HST,9,0,13,0,0,0,0,0,0,100,1,0,0,0,0,0,0,3.5,2,57,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bo Richter,145962,ED,MIN,3,0,18,0,0,0,0,0,0,90,18,0,0,0,0,1,0,83.3,20,24,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1
Calen Bullock,146424,S,HST,19,0,13,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0.3,2,648,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Marcus Williams,11797,S,BLT,10,0,3,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0.5,2,401,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Xavier Woods,11946,S,CAR,17,0,5,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,0.5,3,595,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,0,0
Terrion Arnold,146603,CB,DET,17,0,11,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.2,1,640,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Kindle Vildor,49346,CB,DET,14,0,11,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.6,1,181,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Kareem Jackson,5545,S,BUF,1,0,4,0,0,0,0,0,0,100,2,0,0,0,0,0,0,7.1,2,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Carlton Davis III,49335,CB,DET,13,0,11,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.2,1,423,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Khaleke Hudson,49073,LB,CLV,2,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,50,1,2,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Jack Cochrane,63345,LB,KC,3,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,33.3,2,6,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0
Sam Roberts,156069,DI,CAR,3,0,5,0,0,0,0,0,0,33.3,3,0,0,0,0,0,0,100,13,13,0,0,0,0,0,0,66.7,6,0,0,0,0,0,0,0,0
